EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
10096222,OKLAHOMA,1950,April,Tornado,C,WASHITA,0,0,0,0,250K,0
10120412,TEXAS,1950,April,Tornado,C,COMANCHE,0,0,0,0,25K,0
10104927,PENNSYLVANIA,1950,July,Tornado,C,LEHIGH,2,0,0,0,25K,0
10104928,PENNSYLVANIA,1950,July,Tornado,C,DAUPHIN,0,0,0,0,2.5K,0
10104929,PENNSYLVANIA,1950,July,Tornado,C,CRAWFORD,0,0,0,0,2.5K,0
10104930,PENNSYLVANIA,1950,August,Tornado,C,BUCKS,0,0,0,0,2.5K,0
10104931,PENNSYLVANIA,1950,November,Tornado,C,LANCASTER,1,0,0,0,250K,0
