FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1005618,9979243,D,03/03/1966 20:00:00,,,
1005619,10049391,D,03/03/1966 18:30:00,,,
1005620,9987574,D,04/04/1966 07:00:00,,,
1005621,9987576,D,04/04/1966 08:10:00,,,
1005622,10050470,D,04/26/1966 13:00:00,,,
1005623,10083729,D,06/24/1966 16:00:00,,,
1005624,10026039,D,06/08/1966 19:00:00,,,
1005625,10026041,D,06/08/1966 20:00:00,,,
1005626,10008859,D,06/09/1966 05:20:00,,,
1005627,10112543,D,07/31/1966 20:00:00,,,
1005628,10112544,D,07/31/1966 20:00:00,,,
1005629,10011976,D,10/14/1966 13:55:00,,,
